filename; lemma; threat; res; time
lake-edhoc-Sig-DDH.spthy;  --lemma=secretI;  -D=NeutralCheck; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 73;
lake-edhoc-Sig-DDH.spthy;  --lemma=authIR_unique; ; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 74;
lake-edhoc-Sig-DDH.spthy;  --lemma=secretI;  -D=CredCheck; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 74;
lake-edhoc-Sig-DDH.spthy;  --lemma=secretI; ; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 74;
lake-edhoc-Sig-DDH.spthy;  --lemma=authIR_unique;  -D=NeutralCheck; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 75;
lake-edhoc-Sig-DDH.spthy;  --lemma=authIR_unique;  -D=CredCheck; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 76;
lake-edhoc-Sig-DDH.spthy;  --lemma=secretI;  -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 78;
lake-edhoc-Sig-DDH.spthy;  --lemma=secretI;  -D=NeutralCheck -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 79;
lake-edhoc-Sig-DDH.spthy;  --lemma=authIR_unique;  -D=NeutralCheck -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 83;
lake-edhoc-Sig-DDH.spthy;  --lemma=secretR; ; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && attacker(k4)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 98;
