filename; res; time
lake-edhoc.spthy ;-lemma=authIR_unique -D=NeutralCheck -D=WeakAEAD -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is true. ; 48;
lake-edhoc.spthy ;-lemma=authIR_unique; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 49;
lake-edhoc.spthy  ;-lemma=no_reflection_attacks_RI; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 51;
lake-edhoc.spthy  ;-lemma=authRI_unique -D=NeutralCheck -D=WeakAEAD -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y2,gx2))@j ==> i = j is true. ; 52;
lake-edhoc.spthy  ;-lemma=authRI_unique; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y2,gx2))@j ==> i = j is false. ; 53;
lake-edhoc.spthy	  ;-lemma=data_authentication_R_to_I	  -D=WeakAEAD; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 56;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=data_authentication_I_to_R   -D=WeakAEAD; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 65;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=data_authentication_I_to_R	 -D=LeakSessionKey; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 66;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=secretI	  -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 68;
lake-edhoc.spthy	  ;-lemma=data_authentication_I_to_R	  -D=XorPrecise; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 73;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=secretI	  -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 78;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=no_reflection_attacks_RI	  -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 84;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=honestauthRI_non_inj -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 84;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=no_reflection_attacks_RI	-D=WeakAEAD  -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 86;
lake-edhoc-Sig-DDH.spthy	  ;-lemma=honestauthRI_non_inj  -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 91;
lake-edhoc.spthy ;-lemma=authIR_unique -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is true. ; 98;
lake-edhoc.spthy  ;-lemma=authRI_unique -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y2,gx2))@j ==> i = j is true. ; 103;
lake-edhoc.spthy	  ;-lemma=secretI	  -D=XorPrecise; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 104;
lake-edhoc.spthy	  ;-lemma=honestauthRI_non_inj -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 104;
lake-edhoc.spthy ;-lemma=authIR_unique -D=NeutralCheck -D=XorPrecise -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is true. ; 104;
lake-edhoc.spthy	  ;-lemma=no_reflection_attacks_RI	-D=XorPrecise  -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 106;
