filename; res; time
lake-edhoc-KEM.spthy	  ;-lemma=authIR_unique; RESULT event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,x2,gy2))@j ==> i = j is false. ; 12;
lake-edhoc-KEM.spthy  ;-lemma=no_reflection_attacks_RI; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,y,gx))@i && event(Honest(pkI_2))@k ==> (i > t && event(AcceptI(cid2,m,pkI_2,pkR_2,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_2))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 12;
lake-edhoc-KEM-Sig.spthy	  ;-lemma=data_authentication_I_to_R  -D=LeakSessionKey -D=WeakAEAD; RESULT event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 12;
lake-edhoc-KEM.spthy	  ;-lemma=data_authentication_I_to_R	  -D=XorPrecise; RESULT event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 13;
lake-edhoc-KEM.spthy	  ;-lemma=data_authentication_R_to_I	  -D=WeakAEAD; RESULT event(AcceptRData(PRK_4x3m_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 13;
lake-edhoc-KEM-Sig.spthy	  ;-lemma=data_authentication_R_to_I   -D=LeakSessionKey; RESULT event(AcceptRData(PRK_4x3m_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 15;
lake-edhoc-KEM.spthy	  ;-lemma=data_authentication_I_to_R	  -D=LeakShare -D=WeakestSignature ; RESULT event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_3,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 20;
lake-edhoc-KEM.spthy	  ;-lemma=data_authentication_R_to_I	  -D=LeakShare -D=WeakestSignature ; RESULT event(AcceptRData(PRK_4x3m_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_3,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_4x3m_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 27;
lake-edhoc-KEM.spthy -D=NonRepudiationSoundness ;-lemma=none; RESULT inj-event(WasActiveI(pkI_3,derivedKey,proofnr))@i && event(Honest(pkI_3))@j ==> inj-event(DerivedIShared(pkI_3,derivedKey))@l || event(Compromise(pkI_3))@l is false. RESULT (query encoded as inj-event(WasActiveI(pkI_3,derivedKey,proofnr)) && event(Honest(pkI_3)) ==> inj-event(DerivedIShared(pkI_3,derivedKey)) || event(Compromise(pkI_3)))
RESULT (but event(WasActiveI(pkI_3,derivedKey,proofnr)) && event(Honest(pkI_3)) ==> event(DerivedIShared(pkI_3,derivedKey)) || event(Compromise(pkI_3)) is true.) ; 103;
lake-edhoc-KEM-Sig.spthy	  ;-lemma=secretI	  -D=LeakShare  -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_2))@k ==> (event(Compromise(pkR_2))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 316;
